seed,n,m,gamma,bnb_status,bnb_objective,bnb_runtime_seconds,bnb_absolute_gap,highs_status,highs_certified,highs_objective,highs_runtime_seconds,bnb_highs_absolute_difference,hullround_objective,hullround_relative_gap_to_bnb,hullround_robust_residual
2001,12,8,0,optimal,40926.401160161455,0.05207575000531506,0.0,OPTIMAL,True,40926.401160161455,0.012807791994418949,0.0,40914.40276593615,0.0002931700292519613,9.702760766184177
2001,12,8,1,optimal,40835.34738717511,0.07058174999838229,0.0,OPTIMAL,True,40835.34738717511,0.004138874995987862,0.0,40835.34738717511,0.0,2.6532112715409326
2001,12,8,3,optimal,40777.39446262349,0.05916649999562651,0.0,OPTIMAL,True,40777.39446262349,0.020413625010405667,0.0,40773.08961945972,0.00010556935332666094,4.040043215080999
2001,20,8,0,optimal,67709.34306985539,0.12437695899279788,0.0,OPTIMAL,True,67709.3430698568,0.017142416996648535,1.4115357771515846e-09,67706.8275730824,3.715139829957027e-05,3.097463600591823
2001,20,8,2,optimal,67602.36906018584,0.1640976659982698,0.0,OPTIMAL,True,67602.36906018703,0.03702537500066683,1.1932570487260818e-09,67601.25054453885,1.6545509610640367e-05,2.266693545517512
2001,20,8,4,optimal,67525.94215987879,0.31214904198714066,0.0,OPTIMAL,True,67525.94215987879,0.03864129100111313,0.0,67515.97080573508,0.0001476670124809184,8.696800642866862
2001,30,8,0,optimal,101521.03414096791,0.38969279199955054,0.0,OPTIMAL,True,101521.03414096791,0.009271083996281959,0.0,101484.87496770089,0.00035617420146460727,17.299312058419332
2001,30,8,3,optimal,101353.15481077075,0.38935845899686683,0.0,OPTIMAL,True,101353.15481077076,0.07073437501094304,1.4551915228366852e-11,101341.26037575303,0.00011735633725389393,1.8929326463304221
2001,30,8,5,optimal,101288.36325037821,1.139523250007187,0.0,OPTIMAL,True,101288.36325037823,0.14856604099622928,1.4551915228366852e-11,101282.0266181223,6.256031840747748e-05,7.027237718977005
2002,12,8,0,optimal,44737.05282094171,0.06370587499986868,0.0,OPTIMAL,True,44737.052820941695,0.02391791700210888,1.4551915228366852e-11,44736.21336250505,1.876427667288267e-05,4.2882654782200404
2002,12,8,1,optimal,44690.85874937922,0.08995049999793991,0.0,OPTIMAL,True,44690.858749379215,0.023067082991474308,7.275957614183426e-12,44690.85874937922,0.0,7.8286134732385015
2002,12,8,3,optimal,44630.63852935403,0.10125104199687485,0.0,OPTIMAL,True,44630.63852935403,0.06199862500943709,0.0,44627.07274614436,7.98954110263112e-05,0.6414023102454678
2002,20,8,0,optimal,83979.01461106425,0.25714929099194705,0.0,OPTIMAL,True,83979.01461106427,0.030349499997100793,1.4551915228366852e-11,83960.2442822389,0.00022351213469562706,3.97085237495463
2002,20,8,2,optimal,83901.41818563655,0.12937300000339746,0.0,OPTIMAL,True,83901.41818563655,0.033669124997686595,0.0,83901.41818563655,0.0,2.143591608935772
2002,20,8,4,optimal,83832.35442015702,0.2993060000007972,0.0,OPTIMAL,True,83832.35442015702,0.09467437499552034,0.0,83824.46299873893,9.413336262194511e-05,4.1080948860233235
2002,30,8,0,optimal,121945.9876167725,0.6024432090052869,0.0,OPTIMAL,True,121945.9876167725,0.05124879199138377,0.0,121943.71525886425,1.8634134280770874e-05,4.3411045691439085
2002,30,8,3,optimal,121754.91291653924,0.4787940410024021,0.0,OPTIMAL,True,121754.91291653924,0.0626588329905644,0.0,121748.31217279602,5.42133667143054e-05,5.901633627327044
2002,30,8,5,optimal,121664.6636274322,0.33391924999887124,0.0,OPTIMAL,True,121664.6636274322,0.02716316599980928,0.0,121656.54444236474,6.673412661801551e-05,1.7265862526676585
2003,12,8,0,optimal,47323.72153323165,0.07066100000520237,0.0,OPTIMAL,True,47323.72153323165,0.008409749993006699,0.0,47276.395212225274,0.001000054929601019,6.945632347609575
2003,12,8,1,optimal,47234.77460916757,0.12998499999230262,0.0,OPTIMAL,True,47234.77460916754,0.0334934999991674,2.9103830456733704e-11,47223.098735886386,0.00024718808076879613,12.669533496973663
2003,12,8,3,optimal,47164.088889314335,0.0867055410053581,0.0,OPTIMAL,True,47164.088889314335,0.0254726249986561,0.0,47164.088889314335,0.0,3.1775800047817597
2003,20,8,0,optimal,84416.32952478658,0.2263524579902878,0.0,OPTIMAL,True,84416.32952478658,0.01341991699882783,0.0,84392.97999311912,0.0002765997029117048,3.099462386723161
2003,20,8,2,optimal,84303.74876193855,0.19034800000372343,0.0,OPTIMAL,True,84303.74876193861,0.02801445798831992,5.820766091346741e-11,84302.67904709448,1.268881704285161e-05,8.461287827476383
2003,20,8,4,optimal,84227.32300644195,0.20871249999618158,0.0,OPTIMAL,True,84227.32300644195,0.029710250004427508,0.0,84196.8296831636,0.0003620360019755019,14.681746418171429
2003,30,8,0,optimal,127649.32577561948,0.24316325000836514,0.0,OPTIMAL,True,127649.32577561948,0.036117916999501176,0.0,127640.99023222302,6.530033234263086e-05,6.12245697774199
2003,30,8,3,optimal,127372.11483807676,0.8580156669922872,0.0,OPTIMAL,True,127372.11483807678,0.12634533300297335,2.9103830456733704e-11,127352.5471910661,0.00015362583117608657,16.30005992266109
2003,30,8,5,optimal,127288.13991753716,0.5162257500051055,0.0,OPTIMAL,True,127288.13991753718,0.12991387500369456,1.4551915228366852e-11,127276.83214852224,8.883599856394912e-05,4.355649772064112
2004,12,8,0,optimal,55045.66503197804,0.04689804099325556,0.0,OPTIMAL,True,55045.66503197804,0.007336458002100699,0.0,55045.66503197804,0.0,16.787729728103272
2004,12,8,1,optimal,55011.231069159854,0.06436125001346227,0.0,OPTIMAL,True,55011.231069159854,0.007009625012869947,0.0,54979.26283460807,0.0005811219623788537,40.673870618371794
2004,12,8,3,optimal,54944.82887178988,0.09542762499768287,0.0,OPTIMAL,True,54944.82887178988,0.016801958001451567,0.0,54916.83001228263,0.0005095813397214049,40.01181409236531
2004,20,8,0,optimal,76329.0424113407,0.1400195000023814,0.0,OPTIMAL,True,76329.04241134072,0.00989216601010412,1.4551915228366852e-11,76246.75438662613,0.0010780696588740947,31.5248859032188
2004,20,8,2,optimal,76141.05127973463,0.1881686249980703,0.0,OPTIMAL,True,76141.05127973463,0.05636545798915904,0.0,76124.11655584764,0.0002224125304598099,7.211163243027158
2004,20,8,4,optimal,76059.0355106123,0.16851062500791159,0.0,OPTIMAL,True,76059.0355106123,0.040956957993330434,0.0,76059.0355106123,0.0,2.053556754686781
2004,30,8,0,optimal,124452.38323460985,0.4133352500066394,0.0,OPTIMAL,True,124452.38323460985,0.0690835830027936,0.0,124444.7085153111,6.166791747398913e-05,1.4696190466344632
2004,30,8,3,optimal,124335.47421657798,0.5379316250036936,0.0,OPTIMAL,True,124335.47421657798,0.022291417000815272,0.0,124316.79885624995,0.0001502013841640462,16.300002323762897
2004,30,8,5,optimal,124282.64272685125,0.2720274169987533,0.0,OPTIMAL,True,124282.64272685125,0.01861708400247153,0.0,124282.64272685125,0.0,0.5454927060571322
2005,12,8,0,optimal,59491.41227696748,0.04890208301367238,0.0,OPTIMAL,True,59491.41227696748,0.010085709000122733,0.0,59483.24066396342,0.00013735785874463595,14.178453978680217
2005,12,8,1,optimal,59432.01992137032,0.034548374998848885,0.0,OPTIMAL,True,59432.01992137033,0.0032878750062081963,7.275957614183426e-12,59432.01992137032,0.0,3.947372680910995
