seed,n,m,gamma,theta,lp_objective,round_down_objective,final_objective,l_rd,delta_v_max_theta,l_rd_over_delta,delta_v_max_over_lp_ub,gap_lp,n_gap_lp,certificate_value,certificate_feasible,runtime_total_s,fractional_items,candidate_count_raw,candidate_count_reduced,theta_evaluated_count,theta_skipped_capacity_count,total_hull_rebuilds,lp_highs_objective,lp_highs_abs_diff
1001,30,10,0,90.3572924383472,129086.21616129177,128849.2965906475,129086.0556216804,236.9195706442697,906.8928689927616,0.26124317297522015,0.007025481852063966,0.0018353591707130168,0.05506077512139051,0.03412171343019388,True,0.13358641701051965,1,207,207,207,0,6210,129086.21616129174,2.9103830456733704e-11
1001,30,10,3,29.02485539125765,128907.16054562923,128850.73039584099,128902.27104333206,56.43014978824067,906.8928689927616,0.06222361176013511,0.007035240440904359,0.0004377580698340346,0.013132742095021037,7.534792140463708,True,0.13142370800778735,1,207,207,207,0,6210,128907.16054562917,5.820766091346741e-11
1001,30,10,5,27.611183476979683,128852.07660491443,128850.73039584099,128851.57463954538,1.3462090734392405,906.8928689927616,0.0014844190746966667,0.007038247988610007,1.0447709566738142e-05,0.00031343128700214425,0.4636731087715589,True,0.12391245899198111,1,207,207,207,0,6210,128852.07660491439,4.3655745685100555e-11
1001,60,10,0,58.721177948313176,242774.10217044444,242742.38211060953,242772.0317437841,31.720059834915446,1538.0082518556455,0.020624115505651155,0.006335141343765967,0.00013065668681845537,0.007839401209107323,2.2897003554740896,True,0.49279370800650213,1,412,412,412,0,24720,242774.1021704443,1.4551915228366852e-10
1001,60,10,6,31.145998562830496,242462.57724652239,242390.04276068628,242461.6444690605,72.53448583610589,1538.0082518556455,0.04716131122742106,0.0063432809686415435,0.0002991574479650807,0.017949446877904843,3.448384462836657,True,0.47200308299215976,1,412,412,412,0,24720,242462.57724652227,1.1641532182693481e-10
1001,60,10,7,29.08877505921464,242423.72245865306,242390.04276068628,242423.06104480833,33.67969796678517,1538.0082518556455,0.021898255699310955,0.006344297646522455,0.00013892905209608543,0.008335743125765127,4.688210217314747,True,0.4587810420052847,1,412,412,412,0,24720,242423.72245865295,1.1641532182693481e-10
1001,120,10,0,68.72712112407837,462852.37341257534,462583.90299819794,462849.00324576546,268.4704143773997,1210.3301450084682,0.22181585370289306,0.0026149377523653947,0.0005800346499208544,0.06960415799050253,3.7078748948259346,True,1.77037100000598,1,791,791,791,0,94920,462852.3734125756,2.3283064365386963e-10
1001,120,10,10,32.868018744889085,462310.7678787962,462117.2832045581,462308.4381795247,193.48467423813418,1210.3301450084682,0.1598610718208464,0.002618001199846117,0.00041851647783566217,0.05022197734027946,0.8862244671219628,True,1.7702911669912282,1,791,791,791,0,94920,462310.7678787963,1.1641532182693481e-10
1001,120,10,12,29.262803177677974,462227.3709997496,462160.7570663259,462225.9272526125,66.61393342365045,1210.3301450084682,0.0550378206296633,0.0026184735499125687,0.00014411507756360568,0.017293809307632683,2.215152146164826,True,1.8301124579884345,1,791,791,791,0,94920,462227.37099974975,1.7462298274040222e-10
1002,30,10,0,35.49204177724184,94019.00426925514,94013.51598359607,94016.20808339387,5.488285659070243,804.2459885558965,0.006824138058711371,0.008554078984421775,5.837421595481575e-05,0.0017512264786444724,3.7732483639482624,True,0.1261715419968823,1,202,202,202,0,6060,94019.00426925517,2.9103830456733704e-11
1002,30,10,3,24.1019826174164,93915.49533355264,93714.139217406,93909.34889112388,201.35611614663503,804.2459885558965,0.2503663294711484,0.00856350686007156,0.0021440137799571156,0.06432041339871347,2.692034177784649,True,0.12740345900238026,1,202,202,202,0,6060,93915.49533355267,2.9103830456733704e-11
1002,30,10,5,20.984291849648784,93858.36546713802,93708.4846856676,93853.8643740346,149.8807814704196,804.2459885558965,0.18636186391124615,0.008568719309708005,0.00159688250188947,0.047906475056684106,5.345172099176409,True,0.12737679199199192,1,202,202,202,0,6060,93858.36546713806,4.3655745685100555e-11
1002,60,10,0,46.22498120833399,185366.8477645298,185306.29104171647,185358.86099160588,60.556722813344095,1987.682345984289,0.030465996206932525,0.010722965675659694,0.0003266858316017159,0.019601149896102954,4.778753858250707,True,0.46594279099372216,1,406,406,406,0,24360,185366.8477645298,0.0
1002,60,10,6,25.164962304012295,185088.95333244844,185050.19037252816,185088.4391143336,38.76295992027735,1987.682345984289,0.01950158685998801,0.010739065245099223,0.00020942881367238094,0.012565728820342856,0.896057033052756,True,0.46812312499969266,1,406,406,406,0,24360,185088.95333244844,0.0
1002,60,10,7,24.784171594834433,185050.74813635775,185050.19037252816,185050.19037252816,0.557763829594478,1987.682345984289,0.0002806101441315949,0.010741282410377676,3.0141128053342445e-06,0.00018084676832005468,0.3659061912493371,True,0.5151172500045504,1,406,406,406,0,24360,185050.74813635775,0.0
1002,120,10,0,116.18003532747537,431930.4443986527,431930.1901682926,431930.1901682926,0.2542303600930609,1331.3955133531372,0.0001909502905359643,0.0030824303556716134,5.885909719723704e-07,7.063091663668445e-05,0.21328871596814847,True,1.8708284589956747,1,779,779,779,0,93480,431930.44439865276,5.820766091346741e-11
1002,120,10,10,38.303974706710555,431141.8233705782,431026.3448598146,431139.5747843471,115.47851076355437,1331.3955133531372,0.0867349405983202,0.0030880685685850673,0.00026784344385976543,0.032141213263171854,0.04928389616213735,True,1.836469916990609,1,779,779,779,0,93480,431141.8233705782,0.0
1002,120,10,12,36.253233764065925,431049.2982323906,431026.3448598146,431046.81427695364,22.95337257598294,1331.3955133531372,0.017240085568693685,0.003088731425414234,5.324999407285461e-05,0.006389999288742554,1.076162600983821,True,1.8074993749905843,1,779,779,779,0,93480,431049.2982323906,0.0
1003,30,10,0,52.638273766175566,104722.83124251687,104501.9114277779,104708.58397600747,220.91981473896885,1081.047166215848,0.20435723957566784,0.010322936778822964,0.002109566864434397,0.06328700593303192,0.3527049018539863,True,0.12275124998996034,1,210,210,210,0,6300,104722.83124251684,2.9103830456733704e-11
1003,30,10,3,27.26395805600619,104559.21824906777,104307.26825871522,104550.35853405486,251.94999035254295,1081.047166215848,0.23306105249272463,0.01033908998478464,0.0024096391936708965,0.0722891758101269,0.8226512651009159,True,0.12378341700241435,1,210,210,210,0,6300,104559.21824906775,1.4551915228366852e-11
1003,30,10,5,13.746323357976816,104486.12391637357,104389.627412781,104484.24546558887,96.49650359257066,1081.047166215848,0.08926206608574896,0.010346322800538318,0.0009235341495661426,0.02770602448698428,11.504352284523605,True,0.12232129200128838,1,210,210,210,0,6300,104486.12391637356,1.4551915228366852e-11
1003,60,10,0,104.62503667742592,220357.6774214242,220357.25160176618,220357.25160176618,0.4258196580049116,1223.068515984035,0.0003481568304963791,0.005550378504148831,1.9324021880596906e-06,0.00011594413128358145,0.38085391848335354,True,0.44072062500345055,1,402,402,402,0,24120,220357.6774214242,0.0
1003,60,10,6,26.097370241373746,220021.80717059772,219965.9919587553,220018.3902064174,55.81521184241865,1223.068515984035,0.04563539254995198,0.005558851332566811,0.00025368036268851003,0.015220821761310602,2.768325565661314,True,0.48173845899873413,1,402,402,402,0,24120,220021.80717059772,0.0
1003,60,10,7,26.260851863742715,219993.64291616564,219965.9919587553,219991.54129156529,27.650957410340197,1223.068515984035,0.022607856427481723,0.005559562993600308,0.00012568980195885624,0.007541388117531375,0.4980951663746396,True,0.4395624169992516,1,402,402,402,0,24120,219993.64291616567,2.9103830456733704e-11
1003,120,10,0,77.02162909448865,438663.40514740924,438038.9798572389,438662.62672485976,624.4252901703585,2049.477544302854,0.3046753509967155,0.004672096008588051,0.001423472491306918,0.17081669895683013,0.6660001781200148,True,1.8447568750125356,1,775,775,775,0,93000,438663.4051474091,1.1641532182693481e-10
1003,120,10,10,33.82941779216731,437959.8144064537,436863.66806700965,437950.88013432873,1096.1463394440361,2049.477544302854,0.5348418393219815,0.004679601819359646,0.0025028468443608043,0.3003416213232965,1.1947298781606719,True,1.9710090000007767,1,775,775,775,0,93000,437959.81440645363,5.820766091346741e-11
1003,120,10,12,32.892212284904645,437870.05128429784,436863.66806700965,437856.19903710607,1006.3832172881812,2049.477544302854,0.49104378825019546,0.004680561135185244,0.002298360470957997,0.2758032565149597,0.04116599263375065,True,1.966705415994511,1,775,775,775,0,93000,437870.0512842979,5.820766091346741e-11
