seed,n,m,gamma,bnb_status,bnb_objective,bnb_runtime_seconds,bnb_absolute_gap,highs_status,highs_certified,highs_objective,highs_runtime_seconds,bnb_highs_absolute_difference,hullround_objective,hullround_relative_gap_to_bnb,hullround_robust_residual,hullround_certificate_feasible
2001,12,8,0,optimal,40926.401160161455,0.05443537500104867,0.0,OPTIMAL,True,40926.401160161455,0.011160000009112991,0.0,40914.40276593615,0.0002931700292519613,9.702760766184264,True
2001,12,8,1,optimal,40835.34738717511,0.07180162498843856,0.0,OPTIMAL,True,40835.34738717511,0.003997000007075258,0.0,40835.34738717511,0.0,2.653211271541018,True
2001,12,8,3,optimal,40777.39446262349,0.06307345900859218,0.0,OPTIMAL,True,40777.39446262349,0.020868542007519864,0.0,40773.08961945972,0.00010556935332666094,4.040043215081113,True
2001,20,8,0,optimal,67709.34306985539,0.13228754200099502,0.0,OPTIMAL,True,67709.3430698568,0.017820499997469597,1.4115357771515846e-09,67706.8275730824,3.715139829957027e-05,3.0974636005918557,True
2001,20,8,2,optimal,67602.36906018584,0.17080150000401773,0.0,OPTIMAL,True,67602.36906018703,0.037632708001183346,1.1932570487260818e-09,67601.25054453885,1.6545509610640367e-05,2.2666935455175974,True
2001,20,8,4,optimal,67525.94215987879,0.32905379199655727,0.0,OPTIMAL,True,67525.94215987879,0.06012191700574476,0.0,67515.97080573508,0.0001476670124809184,8.696800642866918,True
2001,30,8,0,optimal,101521.03414096791,0.4337820419896161,0.0,OPTIMAL,True,101521.03414096791,0.009479165993980132,0.0,101484.87496770089,0.00035617420146460727,17.299312058419325,True
2001,30,8,3,optimal,101353.15481077075,0.4253534580057021,0.0,OPTIMAL,True,101353.15481077076,0.08360754100431222,1.4551915228366852e-11,101341.26037575303,0.00011735633725389393,1.8929326463304221,True
2001,30,8,5,optimal,101288.36325037821,1.1681577910057968,0.0,OPTIMAL,True,101288.36325037823,0.16334020800422877,1.4551915228366852e-11,101282.0266181223,6.256031840747748e-05,7.027237718977034,True
2002,12,8,0,optimal,44737.05282094171,0.0670730830024695,0.0,OPTIMAL,True,44737.052820941695,0.024310417007654905,1.4551915228366852e-11,44736.21336250505,1.876427667288267e-05,4.288265478220037,True
2002,12,8,1,optimal,44690.85874937922,0.09344458300620317,0.0,OPTIMAL,True,44690.858749379215,0.023990290996152908,7.275957614183426e-12,44690.85874937922,0.0,7.828613473238551,True
2002,12,8,3,optimal,44630.63852935403,0.10579458400025032,0.0,OPTIMAL,True,44630.63852935403,0.06374295899877325,0.0,44627.07274614436,7.98954110263112e-05,0.6414023102454678,True
2002,20,8,0,optimal,83979.01461106425,0.2651939999923343,0.0,OPTIMAL,True,83979.01461106427,0.03077237500110641,1.4551915228366852e-11,83960.2442822389,0.00022351213469562706,3.9708523749546343,True
2002,20,8,2,optimal,83901.41818563655,0.13914929098973516,0.0,OPTIMAL,True,83901.41818563655,0.035037374997045845,0.0,83901.41818563655,0.0,2.143591608935772,True
